run_id,reason
S1_isolated_fcgnn_n1_cs0p00_seed23_20260610T140844_799cf293,S1 has 0 attacked vehicles (expected 1)
S1_isolated_local_ids_n1_cs0p00_seed23_20260610T140844_c92be9a3,S1 has 0 attacked vehicles (expected 1)
S3_strong_campaign_descriptor_clustering_n2_cs0p75_seed11_20260610T141222_124ebead,S3 has only 1 attacked vehicles
S3_strong_campaign_local_ids_n2_cs0p75_seed11_20260610T141222_e1634d00,S3 has only 1 attacked vehicles
S3_strong_campaign_standard_gnn_n2_cs1p00_seed11_20260610T141224_08e953ed,S3 has only 1 attacked vehicles
S3_strong_campaign_fcgnn_n2_cs0p75_seed11_20260610T141223_8a33a6ae,S3 has only 1 attacked vehicles
S3_strong_campaign_local_ids_n2_cs1p00_seed11_20260610T141224_120b09d5,S3 has only 1 attacked vehicles
S3_strong_campaign_fcgnn_n2_cs1p00_seed11_20260610T141225_999bb9a4,S3 has only 1 attacked vehicles
S3_strong_campaign_standard_gnn_n2_cs0p75_seed11_20260610T141223_311809bb,S3 has only 1 attacked vehicles
S3_strong_campaign_local_ids_n2_cs1p00_seed23_20260610T141155_629deed5,S3 has only 1 attacked vehicles
S3_strong_campaign_fcgnn_n2_cs1p00_seed23_20260610T141155_e0af786d,S3 has only 1 attacked vehicles
S3_strong_campaign_local_ids_n2_cs1p00_seed11_20260610T141154_1f34105e,S3 has only 1 attacked vehicles
S3_strong_campaign_descriptor_clustering_n2_cs1p00_seed11_20260610T141224_8a47bab8,S3 has only 1 attacked vehicles
S3_strong_campaign_fcgnn_n2_cs1p00_seed11_20260610T141154_056331e2,S3 has only 1 attacked vehicles
S4_weak_campaign_standard_gnn_n10_cs0p75_seed11_20260610T141248_6462aaf8,S4 has only 0 attacked vehicles
S4_weak_campaign_descriptor_clustering_n10_cs0p75_seed11_20260610T141248_07480028,S4 has only 0 attacked vehicles
S4_weak_campaign_fcgnn_n2_cs1p00_seed11_20260610T141156_c91eb68d,S4 has only 0 attacked vehicles
S4_weak_campaign_descriptor_clustering_n10_cs1p00_seed11_20260610T141250_4836b9d3,S4 has only 0 attacked vehicles
S4_weak_campaign_standard_gnn_n10_cs1p00_seed11_20260610T141251_ac0b8797,S4 has only 0 attacked vehicles
S4_weak_campaign_fcgnn_n2_cs1p00_seed11_20260610T141244_4fa02cf2,S4 has only 0 attacked vehicles
S4_weak_campaign_local_ids_n2_cs1p00_seed23_20260610T141114_67df18e7,S4 has only 0 attacked vehicles
S4_weak_campaign_local_ids_n2_cs1p00_seed11_20260610T141155_fc215bbf,S4 has only 0 attacked vehicles
S4_weak_campaign_standard_gnn_n2_cs0p75_seed11_20260610T141243_7cfe2779,S4 has only 0 attacked vehicles
S4_weak_campaign_local_ids_n5_cs1p00_seed11_20260610T141246_41e7882a,S4 has only 0 attacked vehicles
S4_weak_campaign_local_ids_n10_cs0p75_seed11_20260610T141247_04f2a0b7,S4 has only 0 attacked vehicles
S4_weak_campaign_standard_gnn_n5_cs1p00_seed11_20260610T141246_bcf3da12,S4 has only 0 attacked vehicles
S4_weak_campaign_fcgnn_n2_cs1p00_seed11_20260610T141114_ab5e7c92,S4 has only 0 attacked vehicles
S4_weak_campaign_fcgnn_n2_cs0p75_seed11_20260610T141243_1e9c5a8f,S4 has only 0 attacked vehicles
S4_weak_campaign_fcgnn_n10_cs0p75_seed11_20260610T141249_4e61ba16,S4 has only 0 attacked vehicles
S4_weak_campaign_local_ids_n5_cs0p75_seed11_20260610T141244_f828a262,S4 has only 0 attacked vehicles
S4_weak_campaign_fcgnn_n2_cs1p00_seed23_20260610T141050_e2602449,S4 has only 0 attacked vehicles
S4_weak_campaign_fcgnn_n2_cs1p00_seed23_20260610T141114_30f1767c,S4 has only 0 attacked vehicles
S4_weak_campaign_fcgnn_n10_cs1p00_seed11_20260610T141251_0d3819af,S4 has only 0 attacked vehicles
S4_weak_campaign_local_ids_n2_cs0p75_seed11_20260610T141242_3120a2fc,S4 has only 0 attacked vehicles
S4_weak_campaign_descriptor_clustering_n5_cs1p00_seed11_20260610T141246_223b008d,S4 has only 0 attacked vehicles
S4_weak_campaign_standard_gnn_n5_cs0p75_seed11_20260610T141245_06bae3fd,S4 has only 0 attacked vehicles
S4_weak_campaign_local_ids_n10_cs1p00_seed11_20260610T141250_28eeb3f9,S4 has only 0 attacked vehicles
S4_weak_campaign_fcgnn_n5_cs0p75_seed11_20260610T141245_c329a12b,S4 has only 0 attacked vehicles
S4_weak_campaign_fcgnn_n2_cs1p00_seed11_20260610T141050_a59caa27,S4 has only 0 attacked vehicles
S4_weak_campaign_fcgnn_n5_cs1p00_seed11_20260610T141247_81fcd9b5,S4 has only 0 attacked vehicles
S4_weak_campaign_standard_gnn_n2_cs1p00_seed11_20260610T141244_304a0ee4,S4 has only 0 attacked vehicles
S4_weak_campaign_local_ids_n2_cs1p00_seed23_20260610T141050_1ba3c889,S4 has only 0 attacked vehicles
S4_weak_campaign_local_ids_n2_cs1p00_seed11_20260610T141243_e11da4d7,S4 has only 0 attacked vehicles
S4_weak_campaign_fcgnn_n2_cs1p00_seed23_20260610T141156_f54da9e7,S4 has only 0 attacked vehicles
